road markings	дорожная разметка
circle	круг (на дороге — круговое движение)
going into oncoming traffic	движение по встречной полосе
hiking	пеший туризм, поход в горы
economic sphere	экономическая сфера
crediting	кредитование
banking	банковское дело
finance	финансы
management	менеджмент, управление
sales	продажи
logistics	логистика
enterprise logistics	корпоративная логистика
corporate Economics	экономика предприятий
ATM machine	банкомат
schedule	расписание; планировать
a tutor	репетитор
education	образование
to do the tasks	выполнять задания
pace	темп
speed	скорость
split	разделить (надвое)
share	делиться, разделять
divide	делить (на части)
supplies	принадлежности, поставки
labelling	маркировка
intelligible	понятный, ясный (про речь)
response	ответ, реакция
rubric	критерий оценки
band score	балл по шкале (IELTS)
elaboration	развёртывание идей, разработка
